item_name,main_category,sub_category,unit_buying_price,unit_selling_price,unit_price_margin,quantity,revenue,profit
Seeds & Grains Rice Crackers,Snacks,Packaged Snacks,0.0,1.99,1.99,3.0,5.97,5.97
Seeni Sambol Kist,Pantry Staples,Spices,1.59,2.5,0.91,13.0,32.5,11.83
Seenisambol 350G Derana,Pantry Staples,Sauces,4.6,6.5,1.9000000000000021,67.0,435.5,127.30000000000014
Sela Basmati 5Kg,Pantry Staples,Rice,11.5,15.0,3.5,46.0,690.0,161.0
Select Basmathi 5Kg Daawat,Pantry Staples,Rice,15.75,20.0,4.25,64.0,1280.0,272.0
Self Raising 2Kg,Pantry Staples,Flour,3.0,4.5,1.5,74.0,333.0,111.0
Self Raising Flour 1Kg,Pantry Staples,Flour,1.5999999999999999,2.39,0.7900000000000001,12.0,28.680000000000003,9.48
Semolina 1Kg Fine Pattu,Pantry Staples,Flour,1.4,3.0,1.6,1.0,3.0,1.6
Semolina Coarse 1Kg,Pantry Staples,Flour,1.4,3.0,1.6,4.0,12.0,6.4
Semolina Coarse 500G,Pantry Staples,Flour,1.4000000000000032,2.199999999999995,0.7999999999999982,143.0,314.5999999999994,114.39999999999979
Semolina Fine 1Kg,Pantry Staples,Flour,1.5,3.0,1.5,16.0,48.0,24.0
Semolina Fine 500G,Pantry Staples,Flour,1.4000000000000021,2.1999999999999975,0.7999999999999986,122.0,268.39999999999947,97.59999999999988
Sesame Balls 200G,Snacks,Biscuit,2.899999999999999,3.9899999999999998,1.09,24.0,95.75999999999999,26.16
Sesame Balls 200G Araliya,Pantry Staples,Grains And Pulses,4.400000000000001,5.0,0.5999999999999999,24.0,120.0,14.399999999999995
Sesame Biscota 250G,Snacks,Biscuit,3.0,3.8181818180000384,0.8181818180000112,618.0,2359.6363635240195,505.63636352400624
Sesame Seeds 500G,Pantry Staples,Spices,3.0,3.9900000000000038,0.9900000000000005,68.0,271.3200000000003,67.32000000000002
Sherbet Syrup750Ml,Beverages,Fruit Juice,3.9499999999999997,5.5,1.5500000000000003,15.0,82.5,23.25
Siddhalepa,Miscellaneous,Balms,6.0,7.5,1.5,4.0,30.0,6.0
Silverbeet,Fresh Produce,Bunch Vegies,0.0,3.0,3.0,1089.0,3267.0,3267.0
Sinhala Pickle 375G Md,Pantry Staples,Pickle,2.75,3.990000000000001,1.2399999999999995,18.0,71.82000000000002,22.319999999999993
Sinqua (Angled Luffa),Fresh Produce,Asian Vegies,4.5,5.5,1.0,290.1780000000002,1595.9790000000014,290.1780000000002
Slim Leeks 3 For $ 1,Fresh Produce,Deals,0.6000000000000008,1.0,0.3999999999999996,79.0,79.0,31.599999999999994
Snake Gourd,Fresh Produce,Asian Vegies,0.0,4.990000000000002,4.990000000000002,18.032,89.97968000000003,89.97968000000003
Snow Pea Tendrils,Fresh Produce,Lettuces,0.0,19.0,19.0,5.0,95.0,95.0
Sona Masoori 5Kg,Pantry Staples,Rice,8.25,10.5,2.25,8.0,84.0,18.0
Soya Beans 500G,Pantry Staples,Pulses And Grains,2.3,3.2899999999999996,0.9900000000000001,16.0,52.63999999999999,15.840000000000002
Soya Crisps 200G,Snacks,Dry Fruits And Nuts,3.07,4.545454544999999,1.4754545450000007,20.0,90.90909089999998,29.50909090000001
Soya Meat Chicken,Pantry Staples,Canned Food,1.0,1.990000000000004,0.9899999999999989,228.0,453.720000000001,225.71999999999974
Soya Meet Prawn 90G,Pantry Staples,Canned Food,1.0,1.990000000000004,0.9899999999999987,243.0,483.57000000000056,240.56999999999988
Spaghetti No.4,Pantry Staples,Pasta,0.9099999999999979,1.200000000000002,0.2899999999999994,137.0,164.40000000000006,39.72999999999993
Spaghettini 03,Pantry Staples,Pasta,0.0,0.9900000000000001,0.9900000000000001,11.0,10.89,10.89
Special White Flour 1Kg,Pantry Staples,Flour,1.6000000000000003,2.39,0.7899999999999997,21.0,50.190000000000005,16.589999999999996
Spicy Dhal300G,Snacks,Packaged Snacks,2.75,3.99,1.24,1.0,3.99,1.24
Spicy Greenpeas 300G,Pantry Staples,Pulses And Grains,2.75,3.990000000000001,1.24,7.0,27.930000000000007,8.68
Spicy Peanut,Snacks,Packaged Snacks,1.5,3.99,2.4900000000000015,24.0,95.75999999999999,59.76000000000002
Spinach Bunch,Fresh Produce,Bunch Vegies,0.0,3.0,3.0,2295.0,6885.0,6885.0
Spinach Bunch 2For,Fresh Produce,Deals,0.0,3.5,3.5,235.0,822.5,822.5
Spinach Lettuce Mix,Fresh Produce,Lettuces,0.0,11.990000000000284,11.990000000000284,261.87200000000024,3139.8452799999973,3139.8452799999973
Spirali No.55,Pantry Staples,Pasta,0.7899999999999994,1.2000000000000017,0.4100000000000001,90.0,108.00000000000013,36.89999999999999
Sprats 150G Richmi,Pantry Staples,Rice,3.1999999999999975,4.990000000000005,1.7900000000000023,68.0,339.32000000000033,121.72000000000011
Sprats Ready To Cook,Pantry Staples,Sardines,5.200000000000001,6.989999999999998,1.7899999999999994,17.0,118.82999999999997,30.42999999999999
Spring Onion 2 For,Fresh Produce,Deals,0.0,2.5,2.5,50.0,125.0,125.0
Spring Water 600Ml,Beverages,Water,0.6199999999999989,1.5,0.8799999999999996,124.0,186.0,109.11999999999988
Sprite 375Ml Can,Beverages,Soda,0.7200000000000002,2.0,1.2800000000000002,20.0,40.0,25.600000000000005
Sprouts Bean Shoots,Fresh Produce,Veggies,0.0,5.0,5.0,59.501999999999995,297.51,297.51
Squash Yellow,Fresh Produce,Other Vegies,0.0,1.99,1.99,1.282,2.55118,2.55118
Strawberry 2 For $ 3,Fresh Produce,Deals,0.0,3.0,3.0,71.0,213.0,213.0
Strawberry 3 For $5.00,Fresh Produce,Deals,2.5,5.0,2.5,1.0,5.0,2.5
Sudu Kekulu5Kg Kandyan,Pantry Staples,Rice,8.75,11.990000000000007,3.240000000000001,56.0,671.4400000000004,181.44000000000008
Sugar Plum,Fresh Produce,Stonefruits,0.0,4.5,4.5,38.02599999999999,171.117,171.117
Suimin Noodles,Snacks,Noodles,0.0,1.9899999999999995,1.9899999999999995,13.0,25.869999999999994,25.869999999999994
Sultana,Snacks,Dry Fruits And Nuts,2.0,4.0,2.0,1.0,4.0,2.0
Sulthana 500G,Pantry Staples,Grains And Pulses,3.6699999999999946,4.990000000000005,1.3199999999999983,67.0,334.3300000000003,88.43999999999988
